,count,mean,std,min,25%,50%,75%,max
imdbRating_clean,486.0,6.581069958847737,1.028326479126638,2.8,6.0,6.7,7.3,8.8
runtime_minutes,486.0,114.64609053497942,31.833559662203086,29.0,94.25,110.0,130.75,229.0
imdbVotes_clean,488.0,86298.36475409837,192341.68420575646,12.0,1187.25,10682.0,95070.5,2432360.0
Metascore_clean,214.0,55.7803738317757,18.39813697065682,11.0,42.25,56.0,69.0,95.0
Year_clean,500.0,2002.002,13.689441098715097,1953.0,1995.0,2004.0,2009.0,2022.0
imdb_score,500.0,6.559399999999999,1.058154535993722,2.1,6.0,6.6,7.3,8.8
imdb_votes,499.0,73677.04208416834,161081.66146536364,9.0,999.0,9139.0,83428.0,1994599.0
